week_idx,start_date,end_date,naive_mae,naive_rmse,lr_mae,lr_rmse,xgb_mae,xgb_rmse
1,2026-04-23,2026-04-30,646.86,812.4,1035.74,1356.99,644.28,865.6
2,2026-04-30,2026-05-07,712.57,904.97,952.38,1238.71,582.0,755.58
3,2026-05-07,2026-05-14,744.29,1029.05,924.14,1258.82,720.1,941.19
4,2026-05-14,2026-05-21,756.29,933.34,1154.94,1579.6,671.01,1002.75
5,2026-05-21,2026-05-28,789.43,1053.04,779.85,1102.03,591.73,799.3
6,2026-05-28,2026-06-04,1030.86,1526.24,946.56,1482.74,822.73,1204.59
7,2026-06-04,2026-06-11,1134.29,1541.83,1079.29,1448.64,725.34,1040.65
8,2026-06-11,2026-06-18,819.14,1120.39,981.01,1233.87,544.99,683.91
